180075,"Cleef","Corene","ccleef0@webnode.com","3rd Year",1998-10-14 0:00:00,"519-585-1605","2 Ohio Circle","Mississauga","Ontario",,,,,,"None",,,,,,
180076,"Heitz","Priscilla","pheitz1@pinterest.com","4th Year",2001-8-30 0:00:00,"519-333-1928","133 Springs Terrace","Waterloo","Ontario",,,,,,"None",,,,,,
180077,"Randal","Elberta","erandal2@unblog.fr","4th Year",2001-4-29 0:00:00,"519-066-6391","6121 Golf Course Junction","Toronto","Ontario",,,,,,"None",,,,,,
180078,"Blinckhorne","Schuyler","sblinckhorne3@bizjournals.com","3rd Year",1999-7-19 0:00:00,"519-876-6724","7 Bunting Way","Toronto","Ontario",,,,,,"None",,,,,,
180079,"Skittrall","Aldric","askittrall4@tinypic.com","1st Year",2000-6-25 0:00:00,"519-500-8151","59 Artisan Terrace","St. Jacobs","Ontario",,,,,,"None",,,,,,
180080,"Keay","Udall","ukeay5@google.nl","3rd Year",2001-9-21 0:00:00,"519-907-3218","120 Superior Lane","Waterloo","Ontario",,,,,,"None",,,,,,
180081,"Cornhill","Corny","ccornhill6@amazon.co.uk","2nd Year",2000-5-26 0:00:00,"519-479-9676","3 Meadow Ridge Alley","Toronto","Ontario",,,,,,"None",,,,,,
180082,"Hutchins","Franchot","fhutchins7@hud.gov","1st Year",1999-9-27 0:00:00,"519-597-0393","29 Burrows Hill","Waterloo","Ontario",,,,,,"None",,,,,,
180083,"Swinfen","Myrtle","mswinfen8@netlog.com","3rd Year",2000-9-19 0:00:00,"519-104-0819","0 Amoth Way","Mississauga","Ontario",,,,,,"None",,,,,,
180084,"Tillyer","Dave","dtillyer9@naver.com","4th Year",1998-8-12 0:00:00,"519-846-9958","160 Fairfield Trail","Cambridge","Ontario",,,,,,"None",,,,,,
180085,"Brosoli","Consuelo","cbrosolia@hibu.com","1st Year",2000-9-24 0:00:00,"519-306-6833","80042 Tony Lane","Cambridge","Ontario",,,,,,"None",,,,,,
180086,"Di Iorio","Augusta","adiioriob@photobucket.com","3rd Year",2001-5-27 0:00:00,"519-067-7693","1 Hanover Parkway","Tilverton","Ontario",,,,,,"None",,,,,,
180087,"Balloch","Eolanda","eballochc@w3.org","2nd Year",2001-6-16 0:00:00,"519-930-7931","6 Sommers Parkway","Paris","Ontario",,,,,,"None",,,,,,
180088,"Howford","Thaine","thowfordd@patch.com","2nd Year",2000-12-17 0:00:00,"519-861-0481","9 Ohio Lane","Cambridge","Ontario",,,,,,"None",,,,,,
180089,"Rofe","Trudie","trofee@blogger.com","3rd Year",2001-5-11 0:00:00,"519-957-0988","5 Jay Road","Toronto","Ontario",,,,,,"None",,,,,,
180090,"Risborough","Dimitry","drisboroughf@oakley.com","4th Year",2000-10-19 0:00:00,"519-558-0839","3 Eggendart Terrace","Paris","Ontario",,,,,,"None",,,,,,
180091,"Curtoys","Arlen","acurtoysg@scientificamerican.com","2nd Year",2000-1-7 0:00:00,"519-363-0551","8718 Killdeer Center","Paris","Ontario",,,,,,"None",,,,,,
180092,"Deveral","Andras","adeveralh@github.io","1st Year",2001-9-19 0:00:00,"519-421-4208","6 Morningstar Road","Toronto","Ontario",,,,,,"None",,,,,,
180093,"O'Nion","Michaela","monioni@linkedin.com","1st Year",2000-10-21 0:00:00,"519-396-2974","7700 Luster Crossing","Tilverton","Ontario",,,,,,"None",,,,,,
180094,"Jezzard","Elmira","ejezzardj@odnoklassniki.ru","3rd Year",2000-8-3 0:00:00,"519-845-8729","3823 Miller Place","Toronto","Ontario",,,,,,"None",,,,,,
180095,"McAndie","Rea","rmcandiek@google.com.hk","2nd Year",2001-1-19 0:00:00,"519-517-1574","2 Straubel Avenue","Waterloo","Ontario",,,,,,"None",,,,,,
